"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.12,0.13,-0.39,0.14
"ami_dummyAmi",1,0.22,0.56,1.42
"serum_ami_high",-0.21,0.31,-0.8,0.4
"nal_dummyNal",0.23,0.19,-0.15,0.61
"Sex1",-0.31,0.28,-0.84,0.24
"Weight_s",0.15,0.14,-0.14,0.43
"Age_s",0,0.11,-0.21,0.22
"wm_s",0.05,0.07,-0.09,0.19
"pos_mood_diff_s",-0.14,0.07,-0.29,0
"neg_mood_diff_s",-0.14,0.18,-0.5,0.22
"PANAS_1_negative_s",-0.09,0.12,-0.33,0.15
"PANAS_1_positive_s",-0.11,0.09,-0.28,0.06
"ami_dummyAmi:Sex1",-0.36,0.44,-1.23,0.49
"ami_dummyAmi:Weight_s",0.11,0.27,-0.43,0.64
"ami_dummyAmi:Age_s",-0.17,0.19,-0.55,0.22
"serum_ami_high:Sex1",0.41,0.57,-0.71,1.51
"serum_ami_high:Weight_s",-0.22,0.3,-0.81,0.39
"serum_ami_high:Age_s",0.21,0.31,-0.39,0.8
"nal_dummyNal:Sex1",0.06,0.4,-0.74,0.82
"nal_dummyNal:Weight_s",-0.22,0.19,-0.6,0.17
"nal_dummyNal:Age_s",-0.11,0.18,-0.47,0.25
